transition_id,from_occupation_id,to_occupation_id,transition_type,estimated_months,estimated_cost,difficulty,notes
1,6,7,role_transition,9,1500,4,Requires business requirements process mapping and basic analytics skills.
2,7,1,role_transition,6,1200,3,Business Analyst can transition into Data Analyst by improving SQL statistics and dashboarding.
3,6,8,role_transition,6,800,2,Administrative Executive can move toward project coordination through documentation and coordination strengths.
4,8,7,role_transition,8,1200,3,Project coordination builds stakeholder and requirements skills for business analysis.
5,11,13,role_transition,9,1300,3,HR Executive can become HR Analyst by adding HRIS analytics and workforce planning skills.
6,12,11,role_transition,6,600,2,Recruitment coordination can transition into general HR operations.
7,14,13,role_transition,9,1200,3,Payroll experience can lead to HR analytics through compensation and HRIS skills.
8,16,9,role_transition,8,1000,3,Operations Executive can become Operations Analyst through KPI reporting and process analytics.
9,17,18,role_transition,10,1600,4,Logistics Coordinator can transition into Supply Chain Analyst through forecasting and inventory analysis.
10,19,18,role_transition,8,1200,3,Procurement Executive can move into supply chain analytics through vendor and demand analysis.
11,6,16,role_transition,5,700,2,Administrative experience can lead into operations coordination through process tracking and execution skills.
12,16,9,role_transition,7,900,3,Operations execution experience can develop into analytical operations work through KPI and reporting skills.
13,9,1,role_transition,7,1100,3,"Operations Analyst can transition into Data Analyst by strengthening SQL, statistics, and dashboarding."
14,6,10,role_transition,7,900,3,Administrative coordination can support product operations through workflow tracking and stakeholder communication.
15,10,7,role_transition,6,1000,3,"Product operations work builds requirements, process, and business analysis exposure."
16,10,1,role_transition,8,1400,4,Product Operations Associate can move into Data Analyst by adding technical analytics skills.
17,7,2,role_transition,6,1300,3,"Business Analyst can move into BI by developing dashboarding, SQL, and reporting automation."
18,2,1,role_transition,4,700,2,BI Analyst already has strong dashboarding and reporting overlap with Data Analyst.
19,1,2,role_transition,4,700,2,Data Analyst can move into BI by specialising in dashboarding and business reporting systems.
20,1,3,role_transition,10,1800,4,Data Analyst can progress toward Junior Data Scientist by adding modelling and stronger statistics.
21,3,5,role_transition,12,2500,5,"Junior Data Scientist can move toward ML Engineer by adding deployment, software, and ML engineering skills."
22,1,4,role_transition,12,2200,5,"Data Analyst can move into Data Engineering through ETL, databases, APIs, and pipeline skills."
23,4,5,role_transition,10,2200,4,Data Engineer can move toward ML Engineer by adding modelling and deployment workflows.
24,15,1,role_transition,7,1000,3,Finance Analyst can transition into Data Analyst because of analytical and reporting overlap.
25,15,7,role_transition,5,700,2,Finance Analyst can move toward Business Analyst through requirements and stakeholder skills.
26,14,15,role_transition,8,900,3,Payroll Executive can move into Finance Analyst through reporting and compensation data experience.
27,13,1,role_transition,8,1200,3,HR Analyst can move into Data Analyst by generalising analytics beyond HR datasets.
28,13,7,role_transition,6,800,2,HR Analyst can move into Business Analyst through stakeholder and process analysis exposure.
29,11,7,role_transition,10,1200,4,HR Executive can transition into Business Analyst by developing requirements and process mapping.
30,11,6,role_transition,4,300,1,HR operations experience overlaps with administrative and coordination work.
31,8,10,role_transition,5,600,2,Project Coordinator can move into Product Operations through workflow and delivery coordination.
32,8,16,role_transition,4,500,2,Project coordination skills transfer into operations execution roles.
33,16,18,role_transition,11,1500,4,"Operations Executive can move into Supply Chain Analyst by adding demand, logistics, and data analysis skills."
34,18,1,role_transition,8,1200,3,Supply Chain Analyst can transition into Data Analyst by broadening technical analytics skills.
35,18,9,role_transition,5,600,2,Supply Chain Analyst can move into Operations Analyst due to strong operations data overlap.
36,19,15,role_transition,7,900,3,Procurement Executive can move toward Finance Analyst through cost analysis and budget tracking.
37,19,16,role_transition,5,500,2,Procurement work overlaps with operations execution and vendor coordination.
38,17,16,role_transition,4,400,2,Logistics coordination can transition into broader operations execution.
39,17,19,role_transition,6,700,2,Logistics Coordinator can move into Procurement Executive through vendor and supply chain exposure.
40,9,20,role_transition,6,900,3,Operations Analyst can move toward Process Improvement through workflow and performance analysis.
41,20,7,role_transition,7,1000,3,Process Improvement Analyst can move into Business Analyst through process mapping and stakeholder analysis.
42,20,1,role_transition,8,1300,3,Process Improvement Analyst can move into Data Analyst by strengthening technical analytics.
43,7,15,role_transition,7,1000,3,"Business Analyst can move toward Finance Analyst if focused on cost, budget, and financial reporting."
44,7,9,role_transition,6,800,2,Business Analyst can transition into Operations Analyst through process and KPI work.
45,2,4,role_transition,9,1700,4,"BI Analyst can move into Data Engineering by adding ETL, data warehousing, and APIs."
