transition_id,from_occupation_id,to_occupation_id,transition_type,estimated_months,estimated_cost,difficulty,notes,transition_confidence
1,6,7,role_transition,9,1500,4,Requires business requirements process mapping and basic analytics skills.,0.37
2,7,1,role_transition,6,1200,3,Business Analyst can transition into Data Analyst by improving SQL statistics and dashboarding.,0.65
3,6,8,role_transition,6,800,2,Administrative Executive can move toward project coordination through documentation and coordination strengths.,0.8
4,8,7,role_transition,8,1200,3,Project coordination builds stakeholder and requirements skills for business analysis.,0.65
5,11,13,role_transition,9,1300,3,HR Executive can become HR Analyst by adding HRIS analytics and workforce planning skills.,0.65
6,12,11,role_transition,6,600,2,Recruitment coordination can transition into general HR operations.,0.8
7,14,13,role_transition,9,1200,3,Payroll experience can lead to HR analytics through compensation and HRIS skills.,0.65
8,16,9,role_transition,8,1000,3,Operations Executive can become Operations Analyst through KPI reporting and process analytics.,0.65
9,17,18,role_transition,10,1600,4,Logistics Coordinator can transition into Supply Chain Analyst through forecasting and inventory analysis.,0.37
10,19,18,role_transition,8,1200,3,Procurement Executive can move into supply chain analytics through vendor and demand analysis.,0.65
11,6,16,role_transition,5,700,2,Administrative experience can lead into operations coordination through process tracking and execution skills.,0.8
12,16,9,role_transition,7,900,3,Operations execution experience can develop into analytical operations work through KPI and reporting skills.,0.65
13,9,1,role_transition,7,1100,3,"Operations Analyst can transition into Data Analyst by strengthening SQL, statistics, and dashboarding.",0.65
14,6,10,role_transition,7,900,3,Administrative coordination can support product operations through workflow tracking and stakeholder communication.,0.65
15,10,7,role_transition,6,1000,3,"Product operations work builds requirements, process, and business analysis exposure.",0.65
16,10,1,role_transition,8,1400,4,Product Operations Associate can move into Data Analyst by adding technical analytics skills.,0.37
17,7,2,role_transition,6,1300,3,"Business Analyst can move into BI by developing dashboarding, SQL, and reporting automation.",0.65
18,2,1,role_transition,4,700,2,BI Analyst already has strong dashboarding and reporting overlap with Data Analyst.,0.8
19,1,2,role_transition,4,700,2,Data Analyst can move into BI by specialising in dashboarding and business reporting systems.,0.8
20,1,3,role_transition,10,1800,4,Data Analyst can progress toward Junior Data Scientist by adding modelling and stronger statistics.,0.37
21,3,5,role_transition,12,2500,5,"Junior Data Scientist can move toward ML Engineer by adding deployment, software, and ML engineering skills.",0.2
22,1,4,role_transition,12,2200,5,"Data Analyst can move into Data Engineering through ETL, databases, APIs, and pipeline skills.",0.2
23,4,5,role_transition,10,2200,4,Data Engineer can move toward ML Engineer by adding modelling and deployment workflows.,0.37
24,15,1,role_transition,7,1000,3,Finance Analyst can transition into Data Analyst because of analytical and reporting overlap.,0.65
25,15,7,role_transition,5,700,2,Finance Analyst can move toward Business Analyst through requirements and stakeholder skills.,0.8
26,14,15,role_transition,8,900,3,Payroll Executive can move into Finance Analyst through reporting and compensation data experience.,0.65
27,13,1,role_transition,8,1200,3,HR Analyst can move into Data Analyst by generalising analytics beyond HR datasets.,0.65
28,13,7,role_transition,6,800,2,HR Analyst can move into Business Analyst through stakeholder and process analysis exposure.,0.8
29,11,7,role_transition,10,1200,4,HR Executive can transition into Business Analyst by developing requirements and process mapping.,0.37
30,11,6,role_transition,4,300,1,HR operations experience overlaps with administrative and coordination work.,0.8
31,8,10,role_transition,5,600,2,Project Coordinator can move into Product Operations through workflow and delivery coordination.,0.8
32,8,16,role_transition,4,500,2,Project coordination skills transfer into operations execution roles.,0.8
33,16,18,role_transition,11,1500,4,"Operations Executive can move into Supply Chain Analyst by adding demand, logistics, and data analysis skills.",0.37
34,18,1,role_transition,8,1200,3,Supply Chain Analyst can transition into Data Analyst by broadening technical analytics skills.,0.65
35,18,9,role_transition,5,600,2,Supply Chain Analyst can move into Operations Analyst due to strong operations data overlap.,0.8
36,19,15,role_transition,7,900,3,Procurement Executive can move toward Finance Analyst through cost analysis and budget tracking.,0.65
37,19,16,role_transition,5,500,2,Procurement work overlaps with operations execution and vendor coordination.,0.8
38,17,16,role_transition,4,400,2,Logistics coordination can transition into broader operations execution.,0.8
39,17,19,role_transition,6,700,2,Logistics Coordinator can move into Procurement Executive through vendor and supply chain exposure.,0.8
40,9,20,role_transition,6,900,3,Operations Analyst can move toward Process Improvement through workflow and performance analysis.,0.65
41,20,7,role_transition,7,1000,3,Process Improvement Analyst can move into Business Analyst through process mapping and stakeholder analysis.,0.65
42,20,1,role_transition,8,1300,3,Process Improvement Analyst can move into Data Analyst by strengthening technical analytics.,0.65
43,7,15,role_transition,7,1000,3,"Business Analyst can move toward Finance Analyst if focused on cost, budget, and financial reporting.",0.65
44,7,9,role_transition,6,800,2,Business Analyst can transition into Operations Analyst through process and KPI work.,0.8
45,2,4,role_transition,9,1700,4,"BI Analyst can move into Data Engineering by adding ETL, data warehousing, and APIs.",0.37
46,21,1,fresh_graduate_entry,4,600,2,Data science graduates can enter data analyst roles by strengthening applied dashboarding and portfolio evidence.,0.75
47,21,2,fresh_graduate_entry,6,900,3,Requires stronger dashboarding and business reporting exposure.,0.75
48,21,3,fresh_graduate_entry,8,1400,4,Requires stronger modelling portfolio and applied machine learning evidence.,0.67
49,22,6,fresh_graduate_entry,3,300,1,Business graduates can enter administrative roles with minimal additional preparation.,0.75
50,22,7,fresh_graduate_entry,7,1000,3,"Requires requirements analysis, process mapping, and project exposure.",0.75
51,22,8,fresh_graduate_entry,4,500,2,Business graduates can enter project coordination through documentation and stakeholder coordination.,0.75
52,23,16,fresh_graduate_entry,4,400,2,Engineering graduates can enter operations roles through process and execution work.,0.75
53,23,9,fresh_graduate_entry,7,900,3,"Requires KPI, reporting, and operations analytics exposure.",0.75
54,23,20,fresh_graduate_entry,8,1200,3,Engineering background supports process improvement with added business analytics.,0.75
55,24,1,fresh_graduate_entry,3,400,1,Master's graduates with data skills can enter data analyst roles with portfolio alignment.,0.75
56,24,3,fresh_graduate_entry,5,800,2,Requires applied modelling portfolio and project evidence.,0.75
57,24,5,fresh_graduate_entry,10,1800,4,"Requires deployment, software engineering, and production ML skills.",0.67
58,25,7,fresh_graduate_entry,4,500,2,Business analytics graduates can enter business analyst roles through requirements and stakeholder exposure.,0.75
